batch:5  lamda:100.0
epoch,dis_loss,gan_mae,gan_entropy,test_dis_loss,validation_mae,validation_entropy
0,0.278552,0.178468,0.310266,0.762075662612915,2.78905,1.15636
1,0.0778626,0.129946,0.143613,0.6940135359764099,0.242497,0.635069
2,0.0564927,0.13211,1.50124,0.7542968392372131,0.204227,1.10976
3,0.156687,0.0974881,0.289584,1.24267578125,0.145343,0.0962563
4,0.731996,0.0830283,0.383806,0.8055098056793213,0.101523,0.35165
5,0.66729,0.0822928,0.34228,1.3507236242294312,0.0995336,2.55356
6,1.19041,0.0789778,0.578007,6.947273254394531,0.0842968,15.8207
7,1.27215,0.0764931,0.749438,6.144722938537598,0.0789132,12.588
8,1.0031,0.0795755,0.924119,16.067974090576172,0.0921715,0.0
9,1.00082,0.0771387,0.634528,0.7628787755966187,0.0812377,0.634708
10,0.824921,0.0824441,0.881755,0.9150709509849548,0.0888627,0.202218
11,1.09362,0.0771328,1.01748,1.0559123754501343,0.0804047,1.72167
12,0.404289,0.0794594,2.10449,3.289743661880493,0.0950587,2.74907
13,0.272544,0.0762265,2.45065,0.9598343372344971,0.0883919,0.355982
14,0.380416,0.0761104,1.67035,1.6658538579940796,0.0933418,0.0381722
15,0.190321,0.0874118,2.30594,0.8840259313583374,0.119156,1.67683
16,0.0664661,0.0773547,2.57399,0.9955982565879822,0.089732,2.37769
17,0.0981873,0.0820909,0.914098,0.5766358375549316,0.0787405,0.939397
18,0.576534,0.0811509,0.805034,1.1718804836273193,0.0938609,1.13448
19,0.286084,0.0810132,0.887659,0.9067474007606506,0.0922314,1.59143
20,0.315942,0.07118,0.418585,0.9038570523262024,0.0744709,0.413682
21,0.253804,0.074823,1.5614,2.931924819946289,0.085847,6.75543
22,0.280936,0.0936992,1.49243,0.6703687906265259,0.103363,0.422125
23,0.398577,0.0912842,0.674071,1.4679677486419678,0.0985629,0.100605
24,0.688417,0.0843472,1.07212,0.7239241003990173,0.0960641,1.21221
